DATE OCC,Crm Cd Desc,AREA NAME,DR NO
05/13/2014,BIKE - STOLEN,N Hollywood,1
12/07/2014,BIKE - STOLEN,Central,1
05/27/2014,BIKE - STOLEN,Olympic,1
12/05/2014,BIKE - STOLEN,Topanga,1
12/09/2014,BIKE - STOLEN,Olympic,1
04/15/2014,BIKE - STOLEN,Central,1
01/23/2014,BIKE - STOLEN,Hollywood,1
11/16/2014,BIKE - STOLEN,Hollenbeck,1
12/23/2014,BIKE - STOLEN,Hollenbeck,1
12/28/2014,BIKE - STOLEN,Central,1
03/27/2014,BIKE - STOLEN,Wilshire,1
03/08/2014,BIKE - STOLEN,Central,1
03/18/2014,BIKE - STOLEN,Olympic,1
06/27/2014,BIKE - STOLEN,Hollywood,1
09/21/2014,BIKE - STOLEN,Southwest,1
08/26/2014,BIKE - STOLEN,Northeast,3
02/10/2014,BIKE - STOLEN,Southwest,1
05/25/2014,BIKE - STOLEN,Wilshire,1
07/08/2014,BIKE - STOLEN,Northeast,1
01/30/2014,BIKE - STOLEN,Central,2
04/13/2014,BIKE - STOLEN,Central,1
11/04/2014,BIKE - STOLEN,Olympic,1
05/12/2014,BIKE - STOLEN,Hollywood,1
04/25/2014,BIKE - STOLEN,Central,2
08/30/2014,BIKE - STOLEN,Northeast,1
06/18/2014,BIKE - STOLEN,N Hollywood,1
01/15/2014,BIKE - STOLEN,Central,1
06/09/2014,BIKE - STOLEN,Northeast,1
01/16/2014,BIKE - STOLEN,Northeast,1
08/01/2014,BIKE - STOLEN,Central,2
03/21/2014,BIKE - STOLEN,Olympic,1
06/27/2014,BIKE - STOLEN,N Hollywood,1
04/09/2014,BIKE - STOLEN,Topanga,1
02/06/2014,BIKE - STOLEN,Central,1
03/24/2014,BIKE - STOLEN,Northeast,1
10/16/2014,BIKE - STOLEN,77th Street,1
07/12/2014,BIKE - STOLEN,Hollywood,1
02/14/2014,BIKE - STOLEN,N Hollywood,1
03/18/2014,BIKE - STOLEN,Northeast,1
04/02/2014,BIKE - STOLEN,Central,1
06/28/2014,BIKE - STOLEN,Southwest,1
06/05/2014,BIKE - STOLEN,Southwest,1
09/29/2014,BIKE - STOLEN,Northeast,1
11/16/2014,BIKE - STOLEN,Harbor,1
05/14/2014,BIKE - STOLEN,Central,1
05/21/2014,BIKE - STOLEN,77th Street,1
09/26/2014,BIKE - STOLEN,N Hollywood,1
10/20/2014,BIKE - STOLEN,Newton,1
09/26/2014,BIKE - STOLEN,Northeast,2
10/19/2014,BIKE - STOLEN,Mission,1
11/20/2014,BIKE - STOLEN,Wilshire,1
07/20/2014,BIKE - STOLEN,Northeast,1
05/27/2014,BIKE - STOLEN,Rampart,1
03/09/2014,BIKE - STOLEN,Olympic,1
05/27/2014,BIKE - STOLEN,Northeast,2
10/27/2014,BIKE - STOLEN,Harbor,1
05/27/2014,BIKE - STOLEN,N Hollywood,1
11/03/2014,BIKE - STOLEN,Hollenbeck,1
08/03/2014,BIKE - STOLEN,Topanga,2
06/02/2014,BIKE - STOLEN,Wilshire,1
06/28/2014,BIKE - STOLEN,Central,1
12/31/2013,BIKE - STOLEN,Rampart,1
11/18/2014,BIKE - STOLEN,Hollywood,1
03/19/2014,BIKE - STOLEN,77th Street,1
05/07/2014,BIKE - STOLEN,Rampart,1
01/03/2014,BIKE - STOLEN,Central,1
10/09/2014,BIKE - STOLEN,Olympic,1
02/16/2014,BIKE - STOLEN,Central,3
05/29/2014,BIKE - STOLEN,Northeast,1
09/14/2014,BIKE - STOLEN,Foothill,1
07/13/2014,BIKE - STOLEN,West Valley,1
07/04/2014,BIKE - STOLEN,Central,1
04/21/2014,BIKE - STOLEN,N Hollywood,1
03/22/2014,BIKE - STOLEN,Rampart,1
08/10/2014,BIKE - STOLEN,Devonshire,1
06/01/2014,BIKE - STOLEN,Olympic,1
08/06/2014,BIKE - STOLEN,Central,1
10/05/2014,BIKE - STOLEN,Olympic,1
08/23/2014,BIKE - STOLEN,Central,1
09/06/2014,BIKE - STOLEN,Northeast,1
06/04/2014,BIKE - STOLEN,N Hollywood,1
10/10/2014,BIKE - STOLEN,Olympic,1
09/16/2014,BIKE - STOLEN,Olympic,1
01/11/2014,BIKE - STOLEN,Wilshire,1
06/19/2014,BIKE - STOLEN,Hollenbeck,1
03/07/2014,BIKE - STOLEN,Central,1
06/26/2014,BIKE - STOLEN,Hollywood,2
10/25/2014,BIKE - STOLEN,Wilshire,1
04/19/2014,BIKE - STOLEN,Southwest,2
10/24/2014,BIKE - STOLEN,Hollenbeck,1
01/12/2014,BIKE - STOLEN,Devonshire,1
07/07/2014,BIKE - STOLEN,West Valley,2
12/23/2014,BIKE - STOLEN,Wilshire,1
06/28/2014,BIKE - STOLEN,West LA,1
01/29/2014,BIKE - STOLEN,Northeast,1
09/07/2014,BIKE - STOLEN,Central,3
09/13/2014,BIKE - STOLEN,Central,1
10/10/2014,BIKE - STOLEN,Hollywood,1
11/28/2014,BIKE - STOLEN,N Hollywood,1
09/16/2014,BIKE - STOLEN,Hollywood,1
08/12/2014,BIKE - STOLEN,Foothill,1
